Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"515,226,838","+604,651","6,269,354","+2,019","469,828,594","39,128,890","40,580","66,099",804.3,0,0
China,"218,198",+362,"5,128",+16,"198,550","14,520",620,152,4,"160,000,000","111,163"
USA,"83,356,490","+71,798","1,023,513",+305,"80,836,418","1,496,559","1,655","249,149","3,059","1,008,201,262","3,013,472"
India,"43,091,393","+2,992","523,975",+55,"42,547,699","19,719",698,"30,672",373,"838,955,577","597,163"
Brazil,"30,502,501","+20,072","663,816",+51,"29,602,372","236,313","8,318","141,653","3,083","63,776,166","296,176"
France,"28,805,690","+47,925","146,376",+114,"27,301,135","1,358,179","1,511","439,523","2,233","269,816,888","4,116,918"
Germany,"25,116,363","+166,960","136,405",+222,"22,841,300","2,138,658","1,446","298,027","1,619","122,332,384","1,451,576"
UK,"22,090,523","+8,447","175,546",+227,"21,396,057","518,920",278,"322,299","2,561","518,646,957","7,567,021"
Russia,"18,206,167","+5,093","376,421",+129,"17,569,936","259,810","2,300","124,658","2,577","273,400,000","1,871,971"
S. Korea,"17,395,791","+49,038","23,079",+72,0,0,432,"338,768",449,"15,804,065","307,771"
Italy,"16,633,911","+47,039","164,041",+152,"15,282,800","1,187,070",371,"275,859","2,720","214,930,050","3,564,424"
Turkey,"15,037,242","+1,132","98,808",+7,"14,934,029","4,405",975,"174,843","1,149","159,413,862","1,853,553"
Spain,"11,953,481",0,"104,668",0,"11,446,906","401,907",339,"255,482","2,237","471,036,328","10,067,458"
Vietnam,"10,662,446","+3,088","43,047",+3,"9,309,336","1,310,063",480,"107,760",435,"85,802,635","867,168"
Argentina,"9,083,673",0,"128,653",0,"8,895,999","59,021",372,"197,657","2,799","35,716,069","777,165"
Netherlands,"8,054,728","+1,679","22,266",+4,"7,898,763","133,699",58,"468,177","1,294","21,107,399","1,226,857"
Japan,"7,952,192","+27,062","29,683",+52,"7,551,278","371,231",174,"63,230",236,"49,009,025","389,684"
Iran,"7,223,828",+252,"141,138",+7,"6,994,857","87,833","1,024","84,031","1,642","50,914,586","592,266"
Colombia,"6,092,667",0,"139,797",0,"5,926,476","26,394",342,"117,442","2,695","34,465,052","664,346"
