Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
April16,345970,12773,12426,358,165739,167805,6477
April17,358184,12188,14066,1640,171127,172991,6403
April18,370784,12600,14401,335,176091,180292,6426
April19,383157,12373,14786,385,180611,187760,6403
April20,396469,13312,15132,346,186275,195062,6310
April21,410260,13791,15509,377,192074,202677,6239
April22,422287,12027,15854,345,198656,207777,6178
April23,435276,12989,16212,358,205025,214039,6030
April24,448216,12940,16603,391,212642,218971,6068
April25,460664,12592,16951,350,220641,223072,6053
April26,472267,11603,17243,292,228083,226941,6050
April27,483226,10951,17588,345,236575,229063,5981
April28,494774,11548,17910,322,245958,230906,5832
April29,507328,12554,18277,367,255937,233114,5783
April30,520050,12722,18610,333,265535,235905,5729
May01,533841,13791,18961,351,275375,239505,5628
May02,545810,11969,19339,378,284294,242177,5494
May03,558802,12992,19617,278,295091,244094,5363
May04,572839,14037,20078,461,305076,247685,5294
May05,587192,14353,20449,371,316185,250558,5261
May06,603065,15873,20806,357,327107,255152,5232
May07,618504,15439,21205,399,338641,258658,5201
May08,634831,16327,21501,296,349156,264174,5115
May09,650884,16053,21851,350,359308,269725,5010
May10,668733,17849,22189,338,371674,274870,4995
May11,683672,14939,22460,271,382296,278916,5000
May12,701532,17860,22851,391,394490,284191,4922
May13,720883,19351,23259,408,406782,290842,4945
May14,738958,18075,23592,333,418628,296738,4966
May15,757924,18966,23963,371,431944,302017,4932
May16,778080,20156,24302,339,445644,308134,4941
May17,798308,20228,24734,432,458731,314843,4973
May18,818935,20627,25111,377,471876,321948,4583
May19,841122,22187,25500,389,486422,329200,4937
May20,863458,22336,25853,353,500597,337008,5011
May21,887257,23799,26244,391,515737,345276,4867
May22,912036,24779,26674,430,531963,353399,4850
May23,936333,24297,27068,394,546115,363150,13796
May24,960418,24085,27455,387,559585,373378,13789
May25,982409,21991,27801,346,573449,381159,13765
May26,1002918,20509,28215,414,589039,385664,13771
May27,1026155,23237,28681,466,604064,393410,13749
