Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
April16,724560,32002,36709,2418,70319,617532,14460
April17,759755,35195,39422,2711,74274,646059,14626
April18,791406,31651,41537,2122,82836,667033,14659
April19,820083,28674,43337,1800,87020,689726,14644
April20,851396,31313,45433,2096,89109,716854,15037
April21,879867,28468,48436,3003,100410,731021,15276
April22,912911,33044,51088,2652,102613,759210,15271
April23,954132,35396,53971,2648,105347,794814,16260
April24,996337,42373,56195,2226,130891,809251,16345
April25,1035014,38677,58599,2406,144273,832142,16361
April26,1064603,29589,59955,1356,146046,858602,16402
April27,1090796,26193,61549,1594,168606,860641,15449
April28,1119114,28318,64264,2716,173859,880991,16563
April29,1150926,31812,66947,2683,182700,901279,19937
April30,1185074,34148,69519,2573,188950,926605,16485
May01,1224955,39881,71780,2261,199775,953400,17727
May02,1258602,33647,73780,2000,213784,971038,17717
May03,1291081,32479,75154,1374,221150,994777,17386
May04,1319037,27956,76774,1621,232311,1009952,17295
May05,1347202,28165,79446,2672,248746,1019010,17369
May06,1375901,28699,82427,2981,263425,1030049,17016
May07,1409318,33417,84961,2534,269720,1054637,18166
May08,1442750,33432,87090,2129,277874,1077786,18147
May09,1472381,29631,88851,1761,296196,1087334,17985
May10,1496765,24384,89987,1136,320723,1086055,17680
May11,1518441,21676,91247,1260,329200,1097994,17655
May12,1544436,25995,93190,1943,365218,1086028,17647
May13,1569886,25450,95467,2277,384152,1090267,17524
May14,1600856,30971,97672,2205,394222,1108962,17419
May15,1632167,31311,99633,1961,406544,1125990,17297
May16,1660308,28140,101662,1641,421214,1137432,17398
May17,1684258,23950,102919,1257,432700,1148639,17512
May18,1711000,26742,104136,1217,445705,1161159,18026
May19,1736096,25096,105942,1806,453793,1176361,18423
May20,1762801,26705,107817,1875,465993,1188991,18978
May21,1795200,32399,109795,1978,480935,1204470,19046
May22,1824549,29354,111630,1835,505055,1207864,18247
May23,1851841,27487,113270,1640,551938,1186633,18269
May24,1877349,25508,114169,899,559981,1203199,18270
May25,1902218,24869,115026,857,576435,1210757,18258
May26,1926396,24178,116163,1144,595573,1214660,18300
May27,1952626,26248,118346,2183,610327,1223953,18312
May28,1981187,28561,120174,1828,622301,1238712,19461
May29,2011976,30789,121962,1788,646722,1243292,19452
May30,2040833,28857,123472,1510,668262,1249099,19427
May31,2066428,25595,124728,1256,737140,1204560,19375
