Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
April16,7966,42,72,0,4518,3376,71
April17,8039,73,76,4,4651,3312,64
April18,8105,66,81,5,5050,2974,60
April19,8140,35,83,2,5159,2898,68
April20,8164,24,83,0,5269,2812,53
April21,8190,26,84,1,5751,2355,54
April22,8198,8,88,4,6016,2094,51
April23,8219,21,91,3,6171,1957,49
April24,8232,13,96,5,6299,1837,46
April25,8257,25,98,2,6558,1601,46
April26,8286,29,101,3,6772,1413,45
April27,8291,5,102,1,6844,1345,46
April28,8312,21,107,5,6918,1287,45
April29,8322,10,108,1,6975,1239,41
April30,8332,10,111,3,7035,1186,37
May01,8348,16,112,1,7077,1159,31
May02,8368,20,113,1,7134,1121,30
May03,8390,22,115,2,7165,1110,31
May04,8414,24,115,0,7225,1074,30
May05,8439,26,116,1,7284,1039,29
May06,8467,28,118,2,7393,956,31
May07,8489,22,118,0,7468,903,26
May08,8508,19,118,0,7522,868,25
May09,8525,17,118,0,7599,808,22
May10,8539,14,118,0,7630,791,20
May11,8549,10,118,0,7661,770,19
May12,8565,16,118,0,7725,722,19
May13,8581,16,119,1,7771,691,20
May14,8590,9,119,0,7811,660,20
May15,8621,31,119,0,7858,644,19
May16,8638,17,119,0,7890,629,16
May17,8648,10,119,0,7900,629,16
May18,8663,15,120,1,7926,617,12
May19,8675,12,121,1,7956,598,13
May20,8686,11,121,0,7992,573,10
May21,8688,2,121,0,8025,542,10
May22,8703,15,122,1,8035,546,8
May23,8719,16,123,1,8050,546,6
May24,8722,3,123,0,8065,534,6
May25,8726,4,123,0,8088,515,6
May26,8741,15,123,0,8115,503,6
May27,8747,6,124,1,8129,494,6
May28,8759,12,125,1,8155,479,5
May29,8782,23,125,0,8164,493,4
May30,8794,12,125,0,8188,481,4
May31,8804,10,125,0,8196,483,4
June01,8814,10,124,0,8201,489,3
June02,8831,17,124,0,8208,499,4
June03,8839,8,124,0,8222,493,5
June04,8850,11,124,0,8233,493,4
June05,8861,11,124,0,8268,469,2
June06,8865,4,124,0,8275,466,2
June07,8870,5,124,0,8289,457,3
June08,8875,5,124,0,8294,457,3
June09,8878,3,124,0,8308,446,2
June10,8887,9,124,0,8332,431,3
June11,8896,9,124,0,8349,423,2
June12,8901,5,124,0,8371,406,2
June13,8913,12,124,0,8400,389,2
June14,8931,18,124,0,8426,381,3
June15,8946,15,124,0,8439,383,4
June16,8960,14,124,0,8442,394,4
June17,8983,23,124,0,8448,411,3
June18,9005,22,124,0,8466,415,2
June19,9023,18,124,0,8467,432,2
June20,9052,29,124,0,8470,458,2
June21,9079,27,124,0,8485,470,2
June22,9095,16,124,0,8492,479,2
June23,9115,20,124,0,8494,497,2
June24,9146,31,125,1,8505,516,3
June25,9186,40,126,1,8522,538,2
June26,9225,39,126,0,8549,550,1
June27,9273,48,126,0,8570,577,1
June28,9324,51,126,0,8570,628,1
June29,9407,83,126,0,8599,682,1
June30,9476,69,126,0,8599,751,1
July01,9560,84,126,0,8631,803,3
July02,9643,83,126,0,8687,830,6
July03,9897,254,126,0,8916,855,8
July04,10004,107,126,0,8952,926,5
July05,10094,90,126,0,8996,972,5
July06,10233,139,128,2,9017,1088,7
July07,10406,173,128,0,9054,1224,10
July08,10538,132,128,0,9086,1324,8
July09,10714,176,128,0,9174,1412,10
July10,11021,307,128,0,9180,1713,13
July11,11216,195,129,1,9334,1753,16
July12,11460,244,130,1,9331,1999,17
July13,11644,184,130,0,9372,2142,18
July14,11915,271,130,0,9440,2345,28
July15,12155,240,133,3,9533,2489,28
July16,12479,324,135,2,9641,2703,30
July17,12910,431,138,3,9730,3042,32
July18,13117,207,140,2,9774,3203,26
July19,13481,364,144,4,9886,3451,29
July20,13753,272,146,2,10057,3550,33
July21,14121,368,148,3,10057,3916,38
July22,14592,471,150,2,10271,4171,42
