Country_Other,Sep07_2021,Sep08_2021,Sep09_2021,Sep10_2021,Sep11_2021,Sep12_2021,Sep13_2021,Sep14_2021,Sep15_2021,Sep16_2021,Sep17_2021,Sep18_2021,Sep19_2021,Sep20_2021,Sep21_2021,Sep22_2021,Sep23_2021,Sep24_2021,Sep25_2021,Sep26_2021,Sep27_2021,Sep28_2021,Sep29_2021,Sep30_2021,Oct01_2021,Oct02_2021,Oct03_2021,Oct04_2021,Oct05_2021,Oct06_2021,Oct07_2021,Oct08_2021,Oct09_2021,Oct10_2021,Oct11_2021,Oct12_2021,Oct13_2021,Oct14_2021,Oct15_2021,Oct16_2021,Oct17_2021,Oct18_2021,Oct19_2021,Oct20_2021,Oct21_2021,Oct22_2021,Oct23_2021,Oct24_2021,Oct25_2021,Oct26_2021,Oct27_2021,Oct28_2021,Oct29_2021,Oct30_2021,Oct31_2021,Nov01_2021,Nov02_2021,Nov03_2021,Nov04_2021,Nov05_2021,Nov06_2021,Nov07_2021,Nov08_2021,Nov09_2021,Nov10_2021,Nov11_2021,Nov12_2021,Nov13_2021,Nov14_2021,Nov15_2021,Nov16_2021,Nov17_2021,Nov18_2021,Nov19_2021,Nov20_2021,Nov21_2021,Nov22_2021,Nov23_2021,Nov24_2021,Nov25_2021,Nov26_2021,Nov27_2021,Nov28_2021,Nov29_2021,Nov30_2021,Dec01_2021,Dec02_2021,Dec03_2021,Dec04_2021,Dec05_2021,Dec06_2021,Dec07_2021,Dec08_2021,Dec09_2021,Dec10_2021,Dec11_2021,Dec12_2021,Dec13_2021,Dec14_2021,Dec15_2021,Dec16_2021,Dec17_2021,Dec18_2021,Dec19_2021,Dec20_2021,Dec21_2021,Dec22_2021,Dec23_2021,Dec24_2021,Dec25_2021,Dec26_2021,Dec27_2021,Dec28_2021,Dec29_2021,Dec30_2021,Dec31_2021,Jan01_2022,Jan02_2022,Jan03_2022,Jan04_2022,Jan05_2022,Jan06_2022,Jan07_2022,Jan08_2022,Jan09_2022,Jan10_2022,Jan11_2022,Jan12_2022,Jan13_2022,Jan14_2022,Jan15_2022,Jan16_2022,Jan17_2022,Jan18_2022,Jan19_2022,Jan20_2022,Jan21_2022,Jan22_2022,Jan23_2022,Jan24_2022,Jan25_2022,Jan26_2022,Jan27_2022,Jan28_2022,Jan29_2022,Jan30_2022,Jan31_2022,Feb01_2022,Feb02_2022,Feb03_2022,Feb04_2022,Feb05_2022,Feb06_2022,Feb07_2022,Feb08_2022,Feb09_2022,Feb10_2022,Feb11_2022,Feb12_2022,Feb13_2022,Feb14_2022,Feb15_2022,Feb16_2022,Feb17_2022,Feb18_2022,Feb19_2022,Feb20_2022,Feb21_2022,Feb22_2022,Feb23_2022,Feb24_2022,Feb25_2022,Feb26_2022,Feb27_2022,Feb28_2022,Mar01_2022,Mar02_2022,Mar03_2022,Mar04_2022,Mar05_2022,Mar06_2022,Mar07_2022,Mar08_2022,Mar09_2022,Mar10_2022,Mar11_2022,Mar12_2022,Mar13_2022,Mar14_2022,Mar15_2022,Mar16_2022,Mar17_2022,Mar18_2022,Mar20_2022,Mar21_2022,Mar22_2022,Mar23_2022,Mar24_2022,Mar25_2022,Mar26_2022,Mar27_2022,Mar28_2022,Mar29_2022,Mar30_2022,Mar31_2022,Apr01_2022,Apr02_2022,Apr03_2022,Apr04_2022,Apr05_2022,Apr06_2022,Apr07_2022,Apr08_2022,Apr09_2022,Apr10_2022,Apr11_2022,Apr12_2022,Apr13_2022,Apr14_2022,Apr15_2022,Apr16_2022,Apr17_2022,Apr18_2022
World,"18,887,989","18,884,571","18,786,096","18,832,998","18,831,295","18,798,484","18,726,031","18,635,466","18,641,320","18,649,896","18,736,898","18,710,068","18,676,772","18,631,656","18,586,155","18,570,677","18,583,808","18,658,374","18,634,397","18,618,011","18,518,188","18,405,671","18,392,503","18,420,177","18,446,661","18,378,967","18,322,871","18,120,540","18,039,315","17,996,309","18,059,650","17,997,536","18,006,197","17,952,039","17,887,086","17,756,505","17,760,845","17,799,908","17,838,704","17,845,790","17,859,779","17,754,922","17,722,697","17,775,624","17,856,037","17,919,006","17,971,209","18,013,196","17,906,466","17,933,850","18,014,316","18,109,198","18,207,328","18,256,563","18,319,024","18,284,252","18,276,725","18,338,863","18,450,435","18,589,696","18,655,257","18,700,867","18,683,601","18,713,111","18,846,896","18,987,348","19,121,836","19,190,845","19,236,410","19,307,888","19,354,660","19,457,903","19,642,513","19,801,701","19,895,720","19,291,117","19,380,266","19,492,849","19,676,031","19,840,935","19,981,655","20,079,937","20,146,970","20,250,419","20,268,011","20,445,247","20,716,980","20,966,123","21,055,890","21,141,354","21,170,665","21,315,850","21,495,310","21,621,842","21,835,658","21,928,576","21,988,600","22,069,186","22,141,876","22,313,431","22,564,475","22,713,998","22,819,220","22,914,640","23,019,312","23,150,923","23,514,653","23,921,833","24,265,677","24,384,040","24,545,208","25,361,010","25,941,307","26,889,965","28,226,265","29,326,993","30,068,640","30,615,412","32,186,406","33,908,696","35,873,632","37,745,816","39,890,413","41,464,909","42,765,626","44,836,650","46,747,486","49,024,061","51,145,731","53,320,889","54,707,668","55,497,182","56,803,797","58,604,792","60,594,528","62,472,648","64,608,339","65,769,200","66,655,327","67,769,298","68,832,815","69,862,527","70,911,472","72,214,813","72,734,254","73,050,112","74,212,130","73,401,022","74,111,573","74,765,268","75,368,407","75,400,608","75,424,718","74,741,096","74,169,211","74,512,108","74,377,628","74,164,945","74,034,799","73,466,808","72,282,270","71,343,762","70,737,379","70,238,469","69,563,126","69,121,008","68,555,535","67,138,519","66,116,262","65,455,095","64,944,287","64,413,679","64,036,667","63,638,035","62,668,580","61,595,558","61,293,746","61,065,596","61,062,009","60,994,194","60,913,016","59,883,955","59,597,153","59,525,668","59,726,844","59,985,731","60,361,596","60,651,955","60,488,388","60,557,010","61,204,569","62,104,315","62,577,338","57,633,508","57,579,081","57,843,393","58,377,954","58,817,506","59,240,477","59,401,257","59,386,422","59,485,058","58,204,584","58,487,918","58,665,408","58,969,102","58,934,046","58,916,670","58,520,528","58,146,558","58,137,100","58,114,243","58,163,683","48,837,104","44,526,769","44,014,891","43,646,142","43,606,817","43,460,788","43,377,277","43,123,161","42,924,601","42,306,463"
China,826,795,786,756,731,740,751,810,837,877,916,913,927,942,980,984,990,"1,009","1,020","1,013","1,012",982,949,908,892,890,868,857,856,838,810,786,766,731,713,669,645,630,556,521,518,516,514,505,492,518,549,564,573,603,643,659,701,763,814,869,912,"1,000","1,080","1,129","1,141","1,169","1,202","1,222","1,222","1,246","1,280","1,309","1,350","1,347","1,295","1,257","1,233","1,206","1,158","1,098","1,051","1,006",958,914,860,809,785,787,790,868,906,972,"1,013","1,036","1,060","1,107","1,133","1,190","1,222","1,272","1,323","1,381","1,431","1,460","1,506","1,556","1,648","1,685","1,736","1,768","1,765","1,823","1,851","1,881","2,011","2,158","2,275","2,415","2,563","2,714","2,886","3,013","3,127","3,256","3,291","3,282","3,359","3,367","3,392","3,404","3,458","3,476","3,460","3,431","3,451","3,461","3,494","3,530","3,454","3,297","3,173","3,061","2,920","2,754","2,616","2,487","2,361","2,268","2,127","2,026","1,937","1,884","1,802","1,741","1,673","1,571","1,510","1,495","1,473","1,495","1,428","1,424","1,436","1,397","1,398","1,398","1,419","1,420","1,423","1,482","1,622","1,724","1,809","1,960","2,098","2,254","2,431","2,588","2,754","2,873","2,999","3,094","3,304","3,465","3,691","3,837","4,052","4,208","4,610","5,024","5,461","7,230","8,531","11,984","13,780","14,850","16,974","19,986","21,388","23,138","25,103","26,253","26,894","27,312","27,567","27,745","27,859","28,163","28,599","29,306","27,128","26,167","25,724","25,060","24,565","24,123","23,832","23,186","22,589","22,395","21,991","21,826","22,822","24,878","25,956","27,885","28,987"
USA,"9,015,387","9,058,897","9,141,650","9,243,682","9,281,054","9,303,506","9,396,924","9,429,080","9,523,673","9,597,842","9,675,027","9,692,010","9,705,031","9,737,027","9,715,410","9,757,275","9,795,803","9,850,394","9,857,502","9,858,405","9,838,383","9,822,645","9,850,841","9,875,879","9,907,927","9,853,264","9,860,357","9,805,790","9,774,351","9,798,529","9,811,930","9,825,627","9,815,497","9,805,835","9,781,577","9,695,610","9,700,690","9,691,861","9,690,608","9,677,447","9,673,391","9,588,193","9,537,524","9,526,225","9,522,759","9,508,054","9,504,119","9,503,806","9,388,349","9,362,598","9,358,517","9,355,413","9,359,357","9,341,589","9,342,326","9,282,012","9,220,934","9,218,010","9,220,830","9,236,267","9,226,651","9,228,410","9,181,275","9,153,680","9,165,744","9,183,252","9,205,572","9,211,223","9,214,324","9,237,610","9,235,181","9,239,157","9,279,227","9,316,689","9,326,838","9,336,118","9,319,803","9,329,193","9,386,611","9,401,200","9,411,096","9,416,669","9,420,095","9,467,489","9,419,966","9,449,555","9,520,781","9,606,688","9,628,072","9,637,520","9,666,336","9,715,064","9,792,640","9,841,074","9,936,238","9,958,399","9,979,825","10,044,267","10,075,594","10,124,028","10,204,336","10,309,216","10,353,854","10,398,516","10,511,784","10,621,626","10,769,803","10,989,003","11,154,386","11,187,802","11,353,552","11,748,549","11,981,273","12,404,303","12,939,418","13,346,856","13,498,885","13,751,707","14,559,834","15,288,098","15,951,678","16,619,075","17,433,829","17,873,809","18,146,166","19,294,562","19,885,128","20,687,428","21,455,773","22,317,525","22,732,045","23,031,325","23,591,203","24,361,654","25,035,097","25,613,160","26,315,424","26,510,734","26,671,065","27,238,138","27,434,325","27,856,405","28,178,981","28,559,353","28,691,741","28,732,901","29,069,889","28,955,249","28,852,070","28,915,847","28,998,744","29,140,784","29,093,003","29,145,580","28,795,422","28,671,117","28,677,716","28,660,018","28,591,586","28,573,546","28,381,019","28,125,618","28,035,020","27,940,922","27,649,488","27,568,580","27,454,250","27,255,881","27,107,363","26,952,312","26,814,308","26,693,857","26,550,318","26,401,648","26,171,931","25,989,717","25,845,090","25,724,877","25,567,231","25,333,838","25,180,321","24,981,052","24,809,670","24,644,636","24,517,351","24,404,543","24,260,703","24,109,763","23,943,683","23,796,184","23,663,746","23,532,231","23,415,977","17,405,406","17,194,644","17,025,851","16,902,988","16,739,304","16,527,529","16,344,535","16,161,395","15,971,560","15,804,598","15,661,178","15,536,343","15,422,482","15,292,238","15,147,900","15,018,006","14,922,155","14,851,559","14,757,686","14,711,180","5,390,844","1,142,318","1,131,150","1,105,217","1,126,210","1,142,716","1,152,102","1,127,391","1,103,338","1,117,401"
India,"397,455","399,900","399,675","400,281","393,349","383,931","368,127","357,355","348,923","345,376","346,608","337,790","325,065","315,269","308,069","307,779","306,369","307,610","309,511","306,598","297,085","288,711","282,813","281,592","279,813","277,688","271,570","258,756","252,762","250,440","246,668","243,224","237,358","234,600","221,037","213,979","213,114","210,352","208,324","202,466","197,012","189,732","185,018","185,657","182,548","180,580","179,592","175,092","170,634","169,509","168,070","168,367","168,522","166,279","165,793","158,784","157,482","156,116","156,810","154,896","153,253","152,083","149,871","148,906","152,434","150,571","148,711","147,294","146,022","142,764","140,689","140,004","139,409","136,655","135,043","130,953","125,786","122,430","120,204","120,001","117,986","115,172","113,764","110,659","109,230","108,311","108,588","108,164","108,779","107,250","105,018","103,258","102,993","102,621","102,542","100,745","99,429","96,988","95,732","95,260","94,301","93,271","91,382","90,344","87,140","85,096","85,251","84,598","84,318","83,857","82,982","81,906","84,349","89,888","98,946","113,730","122,801","156,428","182,837","214,004","284,155","371,363","472,169","590,611","724,334","821,446","955,319","1,117,531","1,272,073","1,417,792","1,550,349","1,656,310","1,736,605","1,830,976","1,924,025","2,018,799","2,113,338","2,187,192","2,249,287","2,236,842","2,222,991","2,202,443","2,105,582","2,004,313","1,884,918","1,831,268","1,743,033","1,621,582","1,533,917","1,435,537","1,331,619","1,224,982","1,108,907","994,875","892,799","790,760","697,771","610,412","537,045","478,850","423,097","370,209","332,890","292,060","253,707","224,155","202,099","181,048","164,492","148,329","134,203","121,850","111,440","102,601","92,441","85,680","77,121","69,866","63,848","59,415","54,087","49,917","46,931","44,457","42,188","40,529","38,069","36,138","33,886","32,780","30,769","29,150","27,773","25,100","23,882","23,056","22,396","21,500","16,711","16,157","15,828","15,350","14,674","14,277","13,642","13,416","12,984","12,567","12,024","11,840","11,609","11,461","11,335","11,122","11,027","10,876","10,860","11,028","11,162","11,337","11,528","11,542","11,830"
Brazil,"396,724","376,857","371,132","372,766","373,534","362,426","342,553","323,566","307,703","306,676","332,686","359,484","368,703","376,339","405,378","395,672","395,640","407,510","415,150","417,115","410,502","403,027","398,682","405,134","415,716","425,241","427,482","418,016","411,418","363,164","377,757","284,964","295,953","295,915","286,803","268,159","256,039","251,439","250,923","251,587","246,643","234,981","222,789","215,131","216,578","221,148","222,104","216,857","207,043","198,604","194,146","194,987","198,996","203,820","206,223","203,634","197,130","192,218","193,126","198,686","202,689","201,161","194,132","186,321","183,895","185,821","191,431","196,328","195,307","187,336","176,793","170,863","170,788","176,083","181,786","182,522","176,671","177,509","165,288","166,702","170,826","174,346","173,278","166,206","158,074","151,734","152,052","156,543","163,289","164,864","161,299","155,388","152,167","152,856","160,392","157,002","158,608","160,651","164,336","169,555","173,102","177,055","180,241","181,606","183,633","187,168","190,482","194,027","197,990","201,851","206,634","213,383","221,665","77,119","90,370","100,567","104,523","106,212","117,988","136,566","163,700","207,747","262,499","252,708","277,040","311,717","383,025","471,351","545,067","595,525","643,885","675,022","751,205","820,888","950,633","1,114,748","1,283,172","1,485,306","1,569,370","1,659,612","1,783,894","1,893,275","2,059,596","2,251,299","2,457,920","2,560,816","2,630,298","2,643,640","2,720,578","2,867,228","3,070,299","3,174,837","3,186,401","3,125,765","3,041,066","3,021,772","3,042,552","3,086,070","3,219,406","3,061,139","2,932,641","2,772,602","2,654,751","2,590,995","2,594,656","2,573,867","2,515,778","2,361,870","2,200,358","2,066,205","2,031,590","2,028,361","2,012,550","1,935,286","1,801,804","1,655,443","1,524,098","1,445,282","1,413,491","1,398,770","1,338,435","1,237,859","1,147,079","1,069,668","1,039,158","1,093,904","1,023,793","971,313","888,077","807,814","758,276","744,506","755,626","785,870","770,390","739,105","707,958","701,857","709,918","708,931","686,024","643,018","604,592","577,204","569,455","575,413","576,770","554,619","517,931","487,190","463,580","456,956","461,411","465,651","452,197","422,842","396,074","381,625","381,011","385,439","381,841","363,556","336,529"
UK,"1,255,115","1,264,325","1,275,959","1,288,532","1,295,757","1,303,158","1,304,503","1,300,771","1,299,147","1,297,175","1,302,300","1,306,296","1,312,859","1,319,317","1,317,531","1,318,749","1,325,246","1,332,765","1,336,568","1,342,492","1,346,390","1,342,847","1,341,797","1,346,478","1,348,165","1,346,064","1,346,067","1,344,818","1,339,764","1,339,721","1,348,290","1,350,234","1,363,398","1,365,107","1,369,311","1,369,152","1,369,174","1,376,530","1,384,143","1,386,207","1,394,142","1,404,586","1,410,431","1,421,995","1,444,489","1,464,527","1,479,294","1,492,025","1,500,611","1,514,985","1,523,959","1,534,182","1,548,211","1,553,619","1,560,421","1,566,199","1,563,311","1,568,322","1,574,349","1,575,813","1,569,375","1,565,905","1,562,039","1,559,020","1,563,641","1,576,557","1,585,999","1,589,558","1,593,001","1,593,546","1,590,613","1,587,711","1,600,476","1,611,152","1,611,702","949,620","994,009","996,956","996,369","1,001,352","1,013,824","1,013,851","1,017,086","1,018,476","1,021,242","1,034,884","1,057,665","1,078,157","1,086,715","1,098,158","1,110,414","1,113,817","1,124,581","1,136,681","1,158,793","1,171,628","1,182,669","1,198,677","1,211,372","1,245,554","1,292,539","1,344,303","1,390,401","1,430,814","1,479,319","1,521,612","1,577,420","1,658,173","1,782,066","1,782,066","1,782,066","1,935,332","2,010,757","2,182,276","2,327,923","2,474,536","2,586,418","2,676,277","2,813,244","2,981,958","3,118,378","3,244,735","3,374,836","3,461,321","3,544,139","3,608,572","3,636,111","3,673,351","3,689,522","3,706,082","3,695,847","3,676,112","3,655,733","3,629,756","3,615,555","3,609,207","3,598,130","3,575,971","3,483,054","3,394,801","3,300,116","3,213,305","3,128,589","3,068,385","2,983,661","2,827,895","3,675,210","2,590,603","2,676,923","2,618,661","2,554,805","2,469,320","2,398,064","2,327,796","2,280,546","2,244,425","2,321,706","2,217,941","2,175,388","2,117,086","2,045,895","1,979,212","1,945,074","1,876,724","1,865,714","1,807,714","1,734,847","1,676,842","1,616,123","1,561,835","1,523,883","1,490,288","1,490,288","1,490,288","1,275,690","1,286,724","1,330,403","1,375,584","1,419,959","1,419,959","1,419,959","1,060,165","1,057,947","1,073,046","1,112,870","1,138,430","1,138,430","1,138,430","1,159,704","1,227,453","1,274,692","1,331,240","1,388,804","1,388,804","1,491,915","1,549,720","1,621,308","1,691,310","1,743,492","1,743,492","1,743,492","1,872,461","1,871,374","1,911,939","1,944,932","1,975,601","1,975,601","1,975,601","1,930,960","1,907,811","1,885,972","1,868,636","1,847,904","1,848,251","1,772,622","1,670,240","1,616,780","1,569,492","1,527,098","1,527,448","1,460,107","1,379,118","1,269,906"
Russia,"556,845","555,810","553,757","554,188","554,395","557,664","562,654","563,803","564,813","566,287","568,782","572,065","578,028","585,002","587,932","590,719","594,770","599,493","604,387","612,409","620,353","623,692","626,809","631,004","634,684","641,165","650,653","661,025","666,672","671,035","677,331","683,075","690,420","700,831","713,823","720,334","726,266","734,909","743,839","754,162","768,751","785,647","794,946","802,760","812,168","822,792","833,318","845,122","861,293","869,660","875,968","885,587","893,811","903,993","916,713","932,773","939,698","946,145","953,239","964,177","975,123","986,303","998,931","1,004,844","1,007,098","1,013,464","1,018,707","1,022,920","1,030,703","1,039,940","1,041,627","1,040,618","1,040,327","1,039,225","1,038,919","1,042,133","1,047,860","1,044,562","1,040,198","1,034,306","1,031,616","1,027,829","1,029,507","1,034,458","1,032,435","1,028,367","1,025,350","1,020,549","1,017,126","1,017,929","1,020,811","1,016,110","1,008,707","1,001,941","995,981","988,652","986,058","985,934","979,048","970,636","960,834","950,060","938,377","932,666","928,610","913,271","895,193","878,213","860,705","842,563","828,031","816,589","793,615","771,026","748,169","727,203","712,963","703,409","694,880","682,878","672,241","663,806","657,719","653,042","647,774","642,973","634,499","625,354","619,785","617,914","617,786","623,599","633,899","639,899","650,180","663,868","687,970","718,976","758,457","801,197","841,921","887,759","946,156","1,014,017","1,096,461","1,188,128","1,281,447","1,366,319","1,459,098","1,560,475","1,669,545","1,785,606","1,905,433","2,021,046","2,104,803","2,190,074","2,280,357","2,371,348","2,461,727","2,557,402","2,639,990","2,668,036","2,674,104","2,668,854","2,649,772","2,637,023","2,659,681","2,683,789","2,653,872","2,611,526","2,607,329","2,562,692","2,503,551","2,481,279","2,470,724","2,394,458","2,307,599","2,229,155","2,157,046","2,087,340","2,017,399","1,967,274","1,921,442","1,886,740","1,788,672","1,687,531","1,578,204","1,493,968","1,429,247","1,346,995","1,264,929","1,186,573","1,115,427","1,008,258","974,620","925,622","881,397","839,890","803,014","765,758","741,160","726,180","698,272","666,980","635,416","608,240","581,302","562,131","544,285","520,457","499,521","478,285","454,632","427,817","411,242","396,094","375,452","358,804","348,045","339,693","331,542","325,076","319,973"
France,"320,493","309,400","298,047","285,400","277,735","280,265","257,417","244,030","233,506","223,399","213,181","206,989","209,022","191,120","181,217","172,195","164,954","157,510","153,132","154,811","141,508","135,477","130,361","125,585","120,929","118,214","119,917","110,687","107,076","103,935","101,177","98,229","97,172","99,655","92,902","91,950","91,344","90,637","90,728","90,940","93,419","87,675","87,766","88,626","89,804","91,228","93,781","97,667","93,367","95,018","96,944","98,936","100,641","104,015","109,234","105,226","101,619","106,517","109,912","114,032","119,860","127,365","123,583","130,020","135,801","142,054","139,592","149,265","160,465","157,050","170,323","184,153","198,084","211,946","228,322","246,213","249,361","269,761","292,867","317,371","342,185","370,882","400,344","396,048","431,349","468,375","512,924","548,112","587,318","626,349","617,908","656,461","697,474","733,105","733,241","799,808","838,407","820,037","850,693","882,949","909,342","930,278","957,243","997,447","965,196","988,413","1,024,328","1,066,069","1,108,581","1,171,023","1,187,400","1,158,604","1,277,037","1,428,388","1,579,296","1,757,767","1,933,124","1,979,539","1,983,416","2,189,308","2,460,799","2,664,194","2,933,883","3,189,130","3,470,204","3,491,078","3,774,894","4,045,100","4,256,319","4,481,113","4,778,039","5,025,835","4,947,974","5,204,565","5,434,633","5,627,602","5,809,339","6,140,293","6,374,498","6,211,015","6,380,324","6,547,060","6,611,004","6,660,843","6,697,229","6,852,832","6,567,119","6,622,263","6,632,409","6,577,402","6,493,780","6,430,378","6,483,714","6,064,658","5,863,484","5,863,484","5,370,470","5,112,507","4,929,672","4,907,807","4,432,369","4,146,609","3,853,290","3,592,121","3,342,259","3,169,605","3,146,099","2,750,330","2,523,803","2,320,685","2,146,300","1,989,989","1,888,260","1,884,884","1,662,944","1,563,147","1,467,842","1,396,697","1,335,874","1,303,051","1,321,992","1,194,091","1,188,415","1,165,272","1,157,585","1,153,304","1,166,842","1,210,091","1,131,406","1,181,230","1,223,303","1,266,969","1,310,929","1,434,315","1,378,578","1,501,677","1,587,044","1,677,867","1,767,763","1,862,006","1,957,710","1,894,007","2,042,282","2,136,503","2,233,425","2,309,616","2,381,374","2,464,824","2,375,736","2,469,945","2,530,149","2,591,385","2,642,015","2,702,474","2,785,991","2,630,573","2,675,794","2,673,592","2,667,382","2,653,241","2,654,740","2,711,961","2,514,278"
Turkey,"489,609","483,158","475,425","463,690","456,210","451,703","450,033","448,368","447,808","443,415","447,673","449,590","448,615","448,123","453,840","458,670","465,030","471,548","478,301","479,059","480,881","479,198","477,339","474,108","476,547","482,207","487,360","482,770","480,075","478,864","476,426","478,272","482,494","484,896","481,410","484,923","485,604","489,649","494,649","497,363","496,888","499,375","502,662","503,405","502,512","500,174","498,511","498,705","495,312","493,273","489,417","487,065","480,419","474,680","472,252","471,417","471,152","467,304","461,815","457,609","454,296","450,548","449,930","449,537","449,080","449,421","447,677","444,791","445,676","444,055","441,482","436,577","429,047","423,890","417,873","404,565","400,293","398,902","398,034","392,640","391,100","389,564","390,999","391,854","392,365","390,612","389,883","390,998","391,681","386,575","380,810","378,933","369,782","362,020","355,276","351,160","346,286","341,669","338,923","333,363","325,632","319,338","311,223","305,104","299,193","293,333","289,433","286,431","284,857","283,073","281,824","285,742","294,630","305,534","320,222","336,877","350,138","361,368","378,585","406,611","443,619","486,374","520,234","551,738","578,129","604,982","639,885","674,889","698,625","710,059","721,833","706,902","699,569","691,458","679,471","665,200","650,382","633,128","623,024","611,529","605,493","597,238","596,019","603,892","615,240","621,666","621,307","636,148","659,942","679,225","706,598","724,690","735,871","748,875","777,562","797,212","807,618","816,672","829,067","832,409","833,839","825,587","815,083","803,243","788,296","771,808","750,736","741,092","728,692","719,498","704,512","685,865","661,856","641,597","628,827","616,964","605,287","587,650","562,442","536,763","514,023","479,419","447,402","411,680","378,787","351,796","329,378","311,098","296,557","290,503","280,366","276,000","274,729","272,416","268,732","263,884","260,652","257,916","254,186","250,292","246,020","241,797","236,668","232,752","230,597","229,061","227,382","226,053","224,702","223,310","219,251","217,684","213,556","211,682","209,944","205,602","200,060","191,065","179,388","169,302","159,808","148,117","137,016"
Argentina,"189,497","189,980","43,779","41,422","38,455","36,059","34,600","35,046","35,329","33,630","32,424","30,892","28,521","27,719","27,506","27,882","26,974","26,107","25,138","23,944","23,383","23,643","23,857","23,399","23,288","22,446","21,320","20,506","20,527","20,772","20,255","19,530","18,791","17,985","17,092","17,188","17,728","17,907","18,083","17,843","17,270","17,253","17,741","18,112","18,659","18,727","18,386","17,713","17,672","17,953","18,653","18,929","18,973","18,444","17,673","17,483","17,764","18,015","17,771","17,805","17,384","16,777","16,623","17,002","17,696","17,688","18,140","18,047","17,317","17,416","17,939","18,495","18,546","18,608","18,274","17,605","16,786","17,258","18,436","19,008","19,376","19,536","18,865","19,458","20,468","21,252","22,597","22,954","22,598","22,190","22,664","24,005","24,504","24,815","26,428","26,447","25,677","26,832","29,278","32,271","34,316","36,846","38,821","39,035","40,515","46,915","55,039","63,296","74,523","76,319","78,511","92,395","119,612","155,218","195,070","230,180","236,813","241,703","267,670","332,806","407,825","480,726","547,684","603,561","625,378","667,662","761,294","846,580","894,656","936,382","933,562","895,744","885,619","904,413","943,655","963,302","949,298","922,863","880,266","833,235","836,932","847,423","815,390","763,420","696,096","609,436","550,713","512,566","486,367","449,120","397,525","347,780","301,247","273,507","268,865","269,351","249,436","225,734","203,078","178,587","161,459","161,032","164,630","156,900","146,408","133,219","118,719","116,763","122,535","126,617","123,960","117,377","109,452","100,112","92,314","89,195","91,419","89,827","83,258","77,955","72,628","71,304","73,085","75,053","76,477","77,462","73,121","67,545","65,247","66,071","67,243","65,502","74,185","67,753","66,482","67,358","68,184","65,646","64,060","61,870","59,492","48,473","49,547","50,413","49,814","48,012","46,164","45,152","44,470","44,562","44,995","43,755","42,911","41,184","39,266","38,894","39,421","39,739","39,739","37,437","36,152","36,580","36,580"
