Country_Other,Sep07_2021,Sep08_2021,Sep09_2021,Sep10_2021,Sep11_2021,Sep12_2021,Sep13_2021,Sep14_2021,Sep15_2021,Sep16_2021,Sep17_2021,Sep18_2021,Sep19_2021,Sep20_2021,Sep21_2021,Sep22_2021,Sep23_2021,Sep24_2021,Sep25_2021,Sep26_2021,Sep27_2021,Sep28_2021,Sep29_2021,Sep30_2021,Oct01_2021,Oct02_2021,Oct03_2021,Oct04_2021,Oct05_2021,Oct06_2021,Oct07_2021,Oct08_2021,Oct09_2021,Oct10_2021,Oct11_2021,Oct12_2021,Oct13_2021,Oct14_2021,Oct15_2021,Oct16_2021,Oct17_2021,Oct18_2021,Oct19_2021,Oct20_2021,Oct21_2021,Oct22_2021,Oct23_2021,Oct24_2021,Oct25_2021,Oct26_2021,Oct27_2021,Oct28_2021,Oct29_2021,Oct30_2021,Oct31_2021,Nov01_2021,Nov02_2021,Nov03_2021,Nov04_2021,Nov05_2021,Nov06_2021,Nov07_2021,Nov08_2021,Nov09_2021,Nov10_2021,Nov11_2021,Nov12_2021,Nov13_2021,Nov14_2021,Nov15_2021,Nov16_2021,Nov17_2021,Nov18_2021,Nov19_2021,Nov20_2021,Nov21_2021,Nov22_2021,Nov23_2021,Nov24_2021,Nov25_2021,Nov26_2021,Nov27_2021,Nov28_2021,Nov29_2021,Nov30_2021,Dec01_2021,Dec02_2021,Dec03_2021,Dec04_2021,Dec05_2021,Dec06_2021,Dec07_2021,Dec08_2021,Dec09_2021,Dec10_2021,Dec11_2021,Dec12_2021,Dec13_2021,Dec14_2021,Dec15_2021,Dec16_2021,Dec17_2021,Dec18_2021,Dec19_2021,Dec20_2021,Dec21_2021,Dec22_2021,Dec23_2021,Dec24_2021,Dec25_2021,Dec26_2021,Dec27_2021,Dec28_2021,Dec29_2021,Dec30_2021,Dec31_2021,Jan01_2022,Jan02_2022,Jan03_2022,Jan04_2022,Jan05_2022,Jan06_2022,Jan07_2022,Jan08_2022,Jan09_2022,Jan10_2022,Jan11_2022,Jan12_2022,Jan13_2022,Jan14_2022,Jan15_2022,Jan16_2022,Jan17_2022,Jan18_2022,Jan19_2022,Jan20_2022,Jan21_2022,Jan22_2022,Jan23_2022,Jan24_2022,Jan25_2022,Jan26_2022,Jan27_2022,Jan28_2022,Jan29_2022,Jan30_2022,Jan31_2022,Feb01_2022,Feb02_2022,Feb03_2022,Feb04_2022,Feb05_2022,Feb06_2022,Feb07_2022,Feb08_2022,Feb09_2022,Feb10_2022,Feb11_2022,Feb12_2022,Feb13_2022,Feb14_2022,Feb15_2022,Feb16_2022,Feb17_2022,Feb18_2022,Feb19_2022,Feb20_2022,Feb21_2022,Feb22_2022,Feb23_2022,Feb24_2022,Feb25_2022,Feb26_2022,Feb27_2022,Feb28_2022,Mar01_2022,Mar02_2022,Mar03_2022,Mar04_2022,Mar05_2022,Mar06_2022,Mar07_2022,Mar08_2022,Mar09_2022,Mar10_2022,Mar11_2022,Mar12_2022,Mar13_2022,Mar14_2022,Mar15_2022,Mar16_2022,Mar17_2022,Mar18_2022,Mar20_2022,Mar21_2022,Mar22_2022,Mar23_2022,Mar24_2022,Mar25_2022,Mar26_2022,Mar27_2022,Mar28_2022,Mar29_2022,Mar30_2022,Mar31_2022,Apr01_2022,Apr02_2022,Apr03_2022,Apr04_2022,Apr05_2022,Apr06_2022,Apr07_2022,Apr08_2022,Apr09_2022,Apr10_2022,Apr11_2022,Apr12_2022
World,"28,574","28,659","28,738","28,816","28,875","28,925","29,005","29,075","29,151","29,225","29,299","29,367","29,412","29,482","29,543","29,615","29,681","29,746","29,796","29,838","29,903","29,959","30,025","30,092","30,154","30,199","30,239","30,296","30,350","30,413","30,472","30,530","30,576","30,614","30,664","30,720","30,778","30,836","30,893","30,938","30,977","31,031","31,086","31,146","31,206","31,266","31,314","31,356","31,408","31,465","31,529","31,591","31,653","31,703","31,745","31,798","31,850","31,918","31,985","32,051","32,106","32,150","32,209","32,271","32,345","32,410","32,485","32,543","32,589","32,659","32,723","32,803","32,883","32,961","33,024","33,078","33,152","33,230","33,316","33,391","33,467","33,530","33,580","33,664","33,744","33,833","33,924","34,018","34,086","34,140","34,217","34,302","34,392","34,473","34,563","34,636","34,692","34,777","34,859","34,954","35,050","35,147","35,219","35,280","35,382","35,481","35,601","35,730","35,835","35,899","35,962","36,162","36,329","36,551","36,797","37,008","37,161","37,281","37,586","37,908","38,250","38,585","38,957","39,247","39,487","39,903","40,281","40,717","41,148","41,590","41,909","42,166","42,515","42,994","43,524","44,003","44,494","44,869","45,156","45,611","46,068","46,568","47,035","47,499","47,843","48,118","48,593","48,999","49,406","49,810","50,202","50,535","50,778","51,068","51,390","51,759","52,125","52,432","52,675","52,888","53,088","53,345","53,620","53,882","54,133","54,340","54,505","54,685","54,904","55,149","55,378","55,589","55,763","55,908","56,075","56,270","56,484","56,703","56,929","57,113","57,276","57,454","57,668","57,907","58,157","58,380","58,601","58,786","58,981","59,210","59,488","59,782","60,035","60,398","60,577","60,821","61,065","61,291","61,523","61,691","61,818","62,016","62,225","62,437","62,634","62,825","62,956","63,063","63,179","63,346","63,508","63,669","63,827","63,933","64,015","64,110","64,254"
China,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,77,77,77,77,77,78,78,78,79,80,81,84,85,86,88,90,92,93,95,97,98,99,100,100,101,102,104,105,106,108,108,109,110,111,112,113,114,115,116
USA,"123,633","124,203","124,692","125,232","125,455","125,563","126,421","126,863","127,436","127,897","128,392","128,591","128,691","129,309","129,711","130,197","130,577","130,984","131,153","131,227","131,798","132,134","132,566","132,908","133,293","133,433","133,514","134,005","134,297","134,707","135,013","135,354","135,482","135,556","135,880","136,232","136,580","136,850","137,147","137,251","137,304","137,649","137,912","138,197","138,441","138,709","138,795","138,849","139,161","139,399","139,695","139,956","140,214","140,296","140,366","140,685","140,888","141,203","141,446","141,723","141,819","141,887","142,236","142,481","142,813","142,947","143,369","143,538","143,608","144,075","144,338","144,715","145,044","145,411","145,518","145,620","146,084","146,342","146,751","146,830","146,981","147,059","147,122","147,723","148,104","148,534","148,962","149,443","149,610","149,713","150,248","150,608","151,062","151,399","151,904","152,074","152,188","152,835","153,186","153,647","154,078","154,599","154,853","155,059","155,937","156,516","157,284","158,113","158,703","158,821","159,405","161,108","162,174","163,693","165,476","166,802","167,302","168,131","171,090","173,811","176,098","178,368","181,061","182,524","183,446","187,630","189,812","192,709","195,332","198,243","199,601","200,590","202,490","205,887","209,001","211,203","213,744","214,740","215,328","218,416","219,881","222,054","223,604","225,325","225,950","226,236","228,161","229,037","230,129","230,928","231,962","233,364","233,512","234,566","235,117","235,916","236,596","237,119","237,310","237,540","237,966","238,335","238,836","239,152","239,474","239,614","239,655","239,824","240,195","240,496","240,714","240,967","241,047","241,065","241,300","241,447","241,661","241,875","242,027","242,074","242,085","242,268","242,363","242,512","242,642","242,776","242,816","242,828","242,949","243,030","243,160","243,339","243,448","243,505","243,615","243,695","243,844","243,956","244,056","244,100","244,111","244,218","244,297","244,455","244,570","244,665","244,700","244,714","244,816","244,908","245,054","245,164","245,299","245,351","245,376","245,492","245,579"
India,"23,706","23,737","23,754","23,780","23,802","23,824","23,841","23,860","23,881","23,905","23,930","23,951","23,973","23,990","24,009","24,031","24,053","24,074","24,093","24,112","24,122","24,137","24,153","24,172","24,188","24,204","24,219","24,230","24,244","24,259","24,274","24,287","24,300","24,313","24,321","24,332","24,345","24,357","24,368","24,377","24,387","24,395","24,405","24,417","24,428","24,439","24,450","24,460","24,468","24,477","24,488","24,497","24,507","24,515","24,524","24,523","24,537","24,547","24,555","24,562","24,570","24,577","24,582","24,590","24,600","24,609","24,616","24,624","24,631","24,636","24,643","24,651","24,658","24,665","24,672","24,677","24,682","24,688","24,694","24,701","24,706","24,711","24,717","24,721","24,727","24,733","24,739","24,745","24,750","24,756","24,760","24,765","24,771","24,777","24,782","24,787","24,791","24,795","24,799","24,804","24,809","24,813","24,818","24,822","24,825","24,829","24,833","24,837","24,842","24,846","24,850","24,854","24,860","24,869","24,880","24,896","24,915","24,938","24,964","25,005","25,069","25,152","25,253","25,366","25,494","25,613","25,751","25,927","26,115","26,307","26,499","26,683","26,852","27,053","27,279","27,527","27,767","28,004","28,222","28,404","28,607","28,811","28,989","29,156","29,323","29,472","29,590","29,705","29,827","29,933","30,023","30,099","30,158","30,206","30,256","30,303","30,343","30,378","30,410","30,433","30,452","30,473","30,494","30,512","30,527","30,540","30,551","30,560","30,570","30,579","30,588","30,595","30,601","30,606","30,610","30,615","30,619","30,623","30,626","30,629","30,631","30,634","30,636","30,638","30,640","30,642","30,644","30,644","30,646","30,647","30,648","30,649","30,649","30,650","30,650","30,651","30,651","30,652","30,652","30,652","30,653","30,653","30,653","30,653","30,653","30,653","30,653","30,653","30,653","30,653","30,652","30,652","30,652","30,652","30,652","30,652","30,652"
Brazil,"97,569","97,634","97,776","97,849","97,914","97,961","97,991","98,051","98,118","98,277","98,431","99,026","99,068","99,103","99,098","99,266","99,379","99,468","99,539","99,578","99,643","99,713","99,794","99,920","100,005","100,066","100,106","100,152","100,246","100,330","100,399","100,481","100,556","100,594","100,625","100,657","100,692","100,757","100,826","100,876","100,901","100,934","100,992","101,063","101,140","101,205","101,258","101,285","101,310","101,371","101,449","101,518","101,572","101,620","101,649","101,665","101,693","101,760","101,820","101,880","101,933","101,960","101,984","102,033","102,098","102,167","102,232","102,290","102,307","102,318","102,339","102,393","102,449","102,509","102,548","102,570","102,580","102,666","102,686","102,741","102,795","102,836","102,853","102,868","102,912","102,963","103,021","103,069","103,108","103,128","103,147","103,193","103,237","103,279","103,313","103,326","103,332","103,340","103,356","103,379","103,395","103,412","103,425","103,430","103,437","103,452","103,466","103,481","103,499","103,515","103,535","103,565","103,602","103,643","103,703","103,749","103,766","103,772","103,825","103,910","104,035","104,239","104,493","104,720","104,831","104,991","105,322","105,732","106,182","106,698","106,922","107,065","107,419","108,032","108,985","109,765","110,549","111,489","111,878","112,297","113,222","114,243","115,306","116,500","117,463","117,944","118,419","119,213","120,088","121,416","122,434","123,149","123,441","123,758","124,553","125,404","126,171","126,941","127,563","127,827","128,094","128,668","129,350","129,949","130,517","130,995","131,182","131,376","131,845","132,464","132,905","133,322","133,658","133,768","133,856","133,963","134,104","134,400","134,714","134,984","135,056","135,148","135,497","135,722","135,979","136,233","136,441","136,524","136,584","136,814","137,024","137,252","137,476","137,722","137,772","137,964","138,177","138,349","138,507","138,644","138,689","138,732","138,869","139,024","139,168","139,292","139,385","139,401","139,459","139,583","139,707","139,830","139,965","140,061","140,092","140,130","140,233"
UK,"103,298","103,860","104,407","104,944","105,365","105,782","106,224","106,607","107,042","107,426","107,897","108,318","108,750","109,271","109,724","110,214","110,736","111,232","111,698","112,171","112,718","113,197","113,722","114,254","114,745","115,176","115,620","116,119","116,601","117,151","117,745","118,255","118,830","119,319","119,895","120,445","121,049","121,700","122,345","122,969","123,622","124,333","124,965","125,673","126,425","127,136","127,792","128,357","128,920","129,517","130,146","130,726","131,355","131,949","132,498","133,072","133,558","134,160","134,693","135,176","135,623","136,058","136,524","137,001","137,574","138,193","138,760","139,309","139,835","140,407","140,944","141,496","142,179","142,824","143,405","143,980","144,628","145,247","145,865","146,535","147,265","147,841","148,373","148,987","149,566","150,254","151,028","151,766","152,359","153,000","153,742","154,399","155,137","155,866","156,714","157,476","158,177","158,963","159,825","160,959","162,237","163,567","164,886","166,082","167,421","168,720","170,257","172,006","173,816","173,814","173,811","178,467","180,345","183,577","186,324","189,095","191,469","193,438","196,174","199,368","202,198","204,820","207,422","209,473","211,537","213,611","215,293","217,183","218,724","220,161","221,338","222,360","223,644","225,013","226,580","228,133","229,529","230,628","231,718","233,094","234,464","235,945","237,347","238,628","239,687","240,595","252,971","254,611","255,876","257,225","258,420","259,295","260,070","260,991","261,954","262,934","265,298","266,146","266,806","267,392","267,997","268,664","269,445","270,191","270,871","271,369","271,738","272,447","273,040","273,609","274,167","274,625","274,621","274,617","275,810","277,250","277,885","278,543","279,189","279,185","279,181","281,019","281,916","282,888","284,112","285,167","285,163","285,159","287,644","289,380","290,715","292,021","293,362","293,354","296,644","298,017","299,505","300,929","302,053","302,049","302,045","305,686","306,343","307,606","308,688","309,698","309,693","309,689","311,769","312,503","313,247","313,928","314,526","314,522","314,518","315,844","316,398"
Russia,"48,270","48,394","48,520","48,645","48,774","48,901","49,026","49,148","49,277","49,411","49,547","49,687","49,825","49,960","50,091","50,226","50,373","50,519","50,670","50,824","50,976","51,124","51,277","51,441","51,609","51,782","51,958","52,134","52,306","52,478","52,667","52,854","53,055","53,251","53,452","53,645","53,842","54,056","54,276","54,504","54,739","54,974","55,205","55,438","55,687","55,941","56,199","56,443","56,703","56,952","57,203","57,477","57,750","58,026","58,307","58,583","58,850","59,127","59,402","59,681","59,964","60,233","60,502","60,770","61,031","61,310","61,585","61,854","62,119","62,382","62,634","62,885","63,141","63,395","63,650","63,903","64,147","64,380","64,609","64,841","65,078","65,311","65,540","65,772","65,996","66,220","66,449","66,675","66,900","67,123","67,343","67,556","67,767","67,974","68,185","68,392","68,597","68,800","68,994","69,188","69,383","69,573","69,760","69,952","70,137","70,314","70,487","70,663","70,832","71,003","71,165","71,324","71,474","71,618","71,763","71,904","72,039","72,164","72,276","72,384","72,492","72,597","72,712","72,825","72,936","73,045","73,164","73,287","73,432","73,595","73,781","73,981","74,191","74,405","74,637","74,903","75,242","75,634","76,067","76,513","76,977","77,488","78,096","78,768","79,542","80,372","81,222","82,083","83,055","84,121","85,273","86,487","87,720","88,897","90,031","91,285","92,634","94,031","95,426","96,781","98,017","99,158","100,385","101,622","102,855","104,082","105,250","106,293","107,219","108,161","109,072","109,917","110,759","111,554","112,286","112,952","113,619","114,256","114,867","115,461","116,008","116,508","116,964","117,366","117,716","118,064","118,393","118,701","118,982","119,233","119,483","119,721","119,957","120,395","120,592","120,772","120,956","121,129","121,303","121,468","121,627","121,771","121,906","122,044","122,175","122,306","122,429","122,544","122,649","122,744","122,844","122,943","123,040","123,133","123,223","123,304","123,378"
France,"104,730","104,926","105,093","105,244","105,390","105,507","105,538","105,695","105,834","105,958","106,070","106,182","106,271","106,293","106,412","106,516","106,610","106,699","106,791","106,862","106,881","106,984","107,072","107,151","107,226","107,301","107,358","107,374","107,459","107,533","107,603","107,671","107,743","107,803","107,819","107,909","107,993","108,072","108,164","108,238","108,296","108,311","108,401","108,493","108,585","108,682","108,778","108,853","108,872","108,973","109,072","109,170","109,267","109,379","109,475","109,503","109,534","109,686","109,831","109,968","110,114","110,244","110,276","110,466","110,647","110,839","110,897","111,120","111,311","111,359","111,661","111,970","112,280","112,604","112,950","113,251","113,330","113,795","114,292","114,802","115,327","115,895","116,378","116,504","117,223","117,980","118,719","119,480","120,267","120,912","121,084","121,985","122,921","123,788","123,787","125,452","126,121","126,304","127,272","128,274","129,203","130,090","130,983","131,722","131,952","133,063","134,349","135,747","137,184","138,780","139,203","139,666","142,410","145,587","148,736","152,280","155,625","156,517","157,546","161,693","166,765","170,757","175,767","180,403","184,923","186,356","191,975","197,497","202,158","207,186","212,140","216,385","217,943","225,038","231,696","238,186","244,305","250,247","254,851","256,506","264,163","270,695","276,681","282,076","287,149","290,956","292,216","298,579","303,392","307,578","311,256","314,530","316,901","317,601","321,191","321,189","326,265","328,268","330,077","331,397","331,799","333,968","335,474","336,881","338,139","339,307","340,206","340,466","341,951","342,969","343,985","344,871","345,687","346,335","346,539","347,755","348,634","349,551","350,431","351,248","351,938","352,157","353,575","354,629","355,769","356,872","357,975","358,895","359,181","360,959","362,618","364,168","365,655","368,389","368,756","371,513","373,732","375,998","378,187","380,314","381,993","382,440","385,757","388,334","390,916","393,182","395,196","396,754","397,174","400,269","402,739","405,159","407,427","409,587","411,227","411,614","414,523"
Turkey,"76,601","76,879","77,156","77,429","77,695","77,943","78,229","78,552","78,880","79,207","79,529","79,833","80,139","80,461","80,802","81,129","81,453","81,769","82,072","82,373","82,688","83,024","83,365","83,704","84,039","84,364","84,681","85,016","85,362","85,716","86,064","86,415","86,748","87,077","87,432","87,825","88,188","88,545","88,901","89,232","89,512","89,851","90,209","90,555","90,885","91,212","91,516","91,803","92,124","92,468","92,780","93,075","93,358","93,625","93,903","94,235","94,581","94,926","95,268","95,594","95,913","96,206","96,528","96,860","97,176","97,464","97,738","97,999","98,248","98,524","98,815","99,091","99,348","99,623","99,893","100,137","100,425","100,751","101,070","101,353","101,631","101,905","102,155","102,436","102,728","102,988","103,239","103,487","103,722","103,945","104,176","104,438","104,679","104,906","105,119","105,341","105,548","105,764","106,012","106,241","106,449","106,658","106,861","107,055","107,271","107,500","107,719","107,935","108,153","108,389","108,621","108,922","109,294","109,719","110,179","110,652","111,077","111,465","111,985","112,621","113,393","114,188","114,922","115,691","116,408","117,166","118,029","118,932","119,810","120,598","121,341","121,968","122,722","123,531","124,374","125,208","126,051","126,897","127,657","128,435","129,321","130,221","131,175","132,262","133,364","134,388","135,471","136,663","137,950","139,199","140,491","141,637","142,658","143,779","145,070","146,331","147,476","148,580","149,580","150,436","151,324","152,424","153,517","154,589","155,604","156,536","157,352","158,338","159,336","160,340","161,264","162,096","162,810","163,386","164,130","164,823","165,479","166,050","166,491","166,864","167,181","167,576","168,007","168,390","168,728","169,019","169,252","169,451","169,730","170,012","170,267","170,510","170,728","171,072","171,241","171,439","171,634","171,826","171,999","172,155","172,281","172,443","172,626","172,796","172,958","173,108","173,240","173,340","173,483","173,620","173,735","173,839","173,916","173,993","174,053","174,128","174,200"
Argentina,"114,078","114,152","114,230","114,289","114,325","114,343","114,390","114,453","114,505","114,557","114,605","114,634","114,644","114,689","114,726","114,768","114,803","114,840","114,859","114,869","114,900","114,937","114,967","115,000","115,031","115,048","115,053","115,072","115,095","115,121","115,142","115,155","115,163","115,167","115,173","115,194","115,220","115,246","115,273","115,288","115,293","115,311","115,336","115,360","115,391","115,418","115,435","115,444","115,468","115,496","115,526","115,558","115,585","115,600","115,609","115,631","115,657","115,682","115,711","115,736","115,753","115,763","115,788","115,815","115,846","115,875","115,908","115,929","115,939","115,967","116,000","116,031","116,066","116,096","116,117","116,129","116,140","116,173","116,219","116,265","116,304","116,335","116,351","116,391","116,439","116,477","116,533","116,582","116,616","116,642","116,693","116,757","116,796","116,853","116,928","116,978","117,010","117,083","117,180","117,282","117,395","117,516","117,604","117,672","117,785","117,986","118,226","118,517","118,869","119,023","119,187","119,626","120,363","121,278","122,377","123,414","123,848","124,293","125,258","127,028","129,101","131,490","133,899","136,115","137,711","139,636","142,566","145,422","148,220","151,268","153,373","154,793","157,024","159,660","162,455","165,281","167,855","169,992","171,512","173,212","175,408","177,334","179,025","180,414","181,325","181,791","182,734","183,801","184,779","185,700","186,570","187,042","187,313","187,863","188,573","189,163","189,705","190,060","190,303","190,435","190,715","191,115","191,482","191,840","192,171","192,336","192,428","192,667","193,032","193,301","193,521","193,723","193,840","193,914","193,985","194,057","194,229","194,425","194,603","194,695","194,739","194,872","195,008","195,136","195,265","195,382","195,442","195,465","195,561","195,667","195,764","195,859","196,168","196,222","196,296","196,393","196,467","196,496","196,548","196,574","196,587","196,640","196,710","196,770","196,826","196,863","196,875","196,881","196,919","196,963","197,003","197,039","197,077","197,091","197,096","197,125","197,166"
